title,authors,year,subject,cover_url,filename
Doctor Dolittle in the moon,Hugh Lofting,1928,fantasy,http://covers.openlibrary.org/b/id/8443596-L.jpg,book_covers\119_Doctor_Dolittle_in_the_moon.jpg
Doctor Dolittle's post office,Hugh Lofting,1923,fantasy,http://covers.openlibrary.org/b/id/8442100-L.jpg,book_covers\120_Doctor_Dolittle's_post_office.jpg
"Tarzan the Invincible (Ace Classic SF, F-189)","Edgar Rice Burroughs, Casper Van Dien, Franke, Henry G., 3rd, Joe Jusko",1931,fantasy,http://covers.openlibrary.org/b/id/284443-L.jpg,"book_covers\121_Tarzan_the_Invincible_(Ace_Classic_SF,_F-189).jpg"
Le chat botté,Charles Perrault,1865,fantasy,http://covers.openlibrary.org/b/id/4435421-L.jpg,book_covers\122_Le_chat_botté.jpg
The Sea of Monsters,Rick Riordan,2005,fantasy,http://covers.openlibrary.org/b/id/108909-L.jpg,book_covers\123_The_Sea_of_Monsters.jpg
The Centaur,Algernon Blackwood,1911,fantasy,http://covers.openlibrary.org/b/id/5562921-L.jpg,book_covers\124_The_Centaur.jpg
The Eyes of the Dragon,Stephen King,1959,fantasy,http://covers.openlibrary.org/b/id/8524085-L.jpg,book_covers\125_The_Eyes_of_the_Dragon.jpg
Night Shift,Stephen King,1960,fantasy,http://covers.openlibrary.org/b/id/14651337-L.jpg,book_covers\126_Night_Shift.jpg
The talisman,"Stephen King, Peter Straub",1925,fantasy,http://covers.openlibrary.org/b/id/14651566-L.jpg,book_covers\127_The_talisman.jpg
"Life, the Universe and Everything",Douglas Adams,1900,fantasy,http://covers.openlibrary.org/b/id/8569244-L.jpg,"book_covers\128_Life,_the_Universe_and_Everything.jpg"
The Phantom Tollbooth,Norton Juster,1961,fantasy,http://covers.openlibrary.org/b/id/8578174-L.jpg,book_covers\129_The_Phantom_Tollbooth.jpg
Artemis Fowl and the Eternity Code,Eoin Colfer,2003,fantasy,http://covers.openlibrary.org/b/id/12636263-L.jpg,book_covers\130_Artemis_Fowl_and_the_Eternity_Code.jpg
The Farthest Shore,Ursula K. Le Guin,1972,fantasy,http://covers.openlibrary.org/b/id/6498990-L.jpg,book_covers\131_The_Farthest_Shore.jpg
Eragon,Christopher Paolini,1998,fantasy,http://covers.openlibrary.org/b/id/13921600-L.jpg,book_covers\132_Eragon.jpg
The Chronicles of Narnia,C.S. Lewis,1970,fantasy,http://covers.openlibrary.org/b/id/9321656-L.jpg,book_covers\133_The_Chronicles_of_Narnia.jpg
Stardust,Neil Gaiman,1997,fantasy,http://covers.openlibrary.org/b/id/8216379-L.jpg,book_covers\134_Stardust.jpg
A Clash of Kings,"George R. R. Martin, George RR Martin",1998,fantasy,http://covers.openlibrary.org/b/id/4853-L.jpg,book_covers\135_A_Clash_of_Kings.jpg
Tintenherz,Cornelia Funke,2003,fantasy,http://covers.openlibrary.org/b/id/3330314-L.jpg,book_covers\136_Tintenherz.jpg
Something Wicked This Way Comes,Ray Bradbury,1962,fantasy,http://covers.openlibrary.org/b/id/9346340-L.jpg,book_covers\137_Something_Wicked_This_Way_Comes.jpg
Everything's Eventual. 14 Dark Tales,"Stephen King, Esther Roig Giménez",2002,fantasy,http://covers.openlibrary.org/b/id/8585782-L.jpg,book_covers\138_Everything's_Eventual._14_Dark_Tales.jpg
Yu-Gi-Oh!,Kazuki Takahashi,1997,fantasy,http://covers.openlibrary.org/b/id/863639-L.jpg,book_covers\139_Yu-Gi-Oh!.jpg
Mort,Terry Pratchett,1987,fantasy,http://covers.openlibrary.org/b/id/14648805-L.jpg,book_covers\140_Mort.jpg
The Light Fantastic,"Terry Pratchett, Ernest Riera",1986,fantasy,http://covers.openlibrary.org/b/id/6531015-L.jpg,book_covers\141_The_Light_Fantastic.jpg
The Enchanted Typewriter,John Kendrick Bangs,1899,fantasy,http://covers.openlibrary.org/b/id/5811385-L.jpg,book_covers\142_The_Enchanted_Typewriter.jpg
The dark is rising,Susan Cooper,1972,fantasy,http://covers.openlibrary.org/b/id/9363540-L.jpg,book_covers\143_The_dark_is_rising.jpg
Black house,"Stephen King, Peter Straub",2001,fantasy,http://covers.openlibrary.org/b/id/14652973-L.jpg,book_covers\144_Black_house.jpg
Mary Poppins,P. L. Travers,1934,fantasy,http://covers.openlibrary.org/b/id/7421-L.jpg,book_covers\145_Mary_Poppins.jpg
Tom's Midnight Garden,Philippa Pearce,1958,fantasy,http://covers.openlibrary.org/b/id/3077039-L.jpg,book_covers\146_Tom's_Midnight_Garden.jpg
Guards! Guards!,Terry Pratchett,1989,fantasy,http://covers.openlibrary.org/b/id/13095550-L.jpg,book_covers\147_Guards!_Guards!.jpg
Rose Madder,Stephen King,1995,fantasy,http://covers.openlibrary.org/b/id/8578049-L.jpg,book_covers\148_Rose_Madder.jpg
The Regulators,Stephen King,1996,fantasy,http://covers.openlibrary.org/b/id/14651906-L.jpg,book_covers\149_The_Regulators.jpg
Die unendliche Geschichte,Michael Ende,1979,fantasy,http://covers.openlibrary.org/b/id/7383413-L.jpg,book_covers\150_Die_unendliche_Geschichte.jpg
Doctor Dolittle's garden,Hugh Lofting,1927,fantasy,http://covers.openlibrary.org/b/id/9244265-L.jpg,book_covers\151_Doctor_Dolittle's_garden.jpg
Farmer Giles of Ham,J.R.R. Tolkien,1949,fantasy,http://covers.openlibrary.org/b/id/9158606-L.jpg,book_covers\152_Farmer_Giles_of_Ham.jpg
La Petite Sirene (French Well Loved Tales),"Hans Christian Andersen, Yayoi Kusama, Bernadette Watts",1935,fantasy,http://covers.openlibrary.org/b/id/10563313-L.jpg,book_covers\153_La_Petite_Sirene_(French_Well_Loved_Tales).jpg
Trollkarlens hatt,Tove Jansson,1950,fantasy,http://covers.openlibrary.org/b/id/3180402-L.jpg,book_covers\154_Trollkarlens_hatt.jpg
The Battle of the Labyrinth,Rick Riordan,2005,fantasy,http://covers.openlibrary.org/b/id/6274739-L.jpg,book_covers\155_The_Battle_of_the_Labyrinth.jpg
Mostly Harmless,Douglas Adams,1991,fantasy,http://covers.openlibrary.org/b/id/11465755-L.jpg,book_covers\156_Mostly_Harmless.jpg
Flat Stanley,"Jeff Brown, Jon Mitchell, Tomi Ungerer, Tony Ross",1926,fantasy,http://covers.openlibrary.org/b/id/5140225-L.jpg,book_covers\157_Flat_Stanley.jpg
Corduroy,Don Freeman,1968,fantasy,http://covers.openlibrary.org/b/id/1333207-L.jpg,book_covers\158_Corduroy.jpg
Tale of Despereaux,Kate DiCamillo,2003,fantasy,http://covers.openlibrary.org/b/id/541143-L.jpg,book_covers\159_Tale_of_Despereaux.jpg
Wizard's First Rule,Terry Goodkind,1994,fantasy,http://covers.openlibrary.org/b/id/1005963-L.jpg,book_covers\160_Wizard's_First_Rule.jpg
Dragonquest,Anne McCaffrey,1971,fantasy,http://covers.openlibrary.org/b/id/12077053-L.jpg,book_covers\161_Dragonquest.jpg
Wintersmith,"Terry Pratchett, Paul Kidby",2006,fantasy,http://covers.openlibrary.org/b/id/14645769-L.jpg,book_covers\162_Wintersmith.jpg
Wicked,Gregory Maguire,1995,fantasy,http://covers.openlibrary.org/b/id/38706-L.jpg,book_covers\163_Wicked.jpg
Equal Rites,Terry Pratchett,1987,fantasy,http://covers.openlibrary.org/b/id/6925774-L.jpg,book_covers\164_Equal_Rites.jpg
