title,authors,year,subject,cover_url,filename,doc_id,dominant_color,surrogate_text
The House of the Seven Gables,Nathaniel Hawthorne,1851,historical_fiction,http://covers.openlibrary.org/b/id/8241487-L.jpg,book_covers\1017_The_House_of_the_Seven_Gables.jpg,1017,"rgb(141, 49, 38)","The House of the Seven Gables Nathaniel Hawthorne historical_fiction 1851 rgb(141, 49, 38)"
The Elusive Pimpernel (Scarlet Pimpernel),"Emmuska Orczy, Baroness Orczy",1908,historical_fiction,http://covers.openlibrary.org/b/id/502823-L.jpg,book_covers\1018_The_Elusive_Pimpernel_(Scarlet_Pimpernel).jpg,1018,"rgb(124, 47, 51)","The Elusive Pimpernel (Scarlet Pimpernel) Emmuska Orczy, Baroness Orczy historical_fiction 1908 rgb(124, 47, 51)"
Tender is the Night,F. Scott Fitzgerald,1933,historical_fiction,http://covers.openlibrary.org/b/id/6984433-L.jpg,book_covers\1019_Tender_is_the_Night.jpg,1019,"rgb(40, 32, 20)","Tender is the Night F. Scott Fitzgerald historical_fiction 1933 rgb(40, 32, 20)"
A Little Princess,"Frances Hodgson Burnett, Oxford University Press Staff, Jennifer Bassett, Justine Eyre, Nancy Bond",1905,historical_fiction,http://covers.openlibrary.org/b/id/2328315-L.jpg,book_covers\1020_A_Little_Princess.jpg,1020,"rgb(67, 137, 79)","A Little Princess Frances Hodgson Burnett, Oxford University Press Staff, Jennifer Bassett, Justine Eyre, Nancy Bond historical_fiction 1905 rgb(67, 137, 79)"
The Age of Innocence,Edith Wharton,1920,historical_fiction,http://covers.openlibrary.org/b/id/11196262-L.jpg,book_covers\1021_The_Age_of_Innocence.jpg,1021,"rgb(237, 205, 140)","The Age of Innocence Edith Wharton historical_fiction 1920 rgb(237, 205, 140)"
The Grapes of Wrath,John Steinbeck,1939,historical_fiction,http://covers.openlibrary.org/b/id/12715902-L.jpg,book_covers\1022_The_Grapes_of_Wrath.jpg,1022,"rgb(71, 95, 81)","The Grapes of Wrath John Steinbeck historical_fiction 1939 rgb(71, 95, 81)"
Voskresenīe,Лев Толстой,1899,historical_fiction,http://covers.openlibrary.org/b/id/6309101-L.jpg,book_covers\1023_Voskresenīe.jpg,1023,error_reading,Voskresenīe Лев Толстой historical_fiction 1899 error_reading
Gone With the Wind,Margaret Mitchell,1905,historical_fiction,http://covers.openlibrary.org/b/id/14817133-L.jpg,book_covers\1024_Gone_With_the_Wind.jpg,1024,"rgb(133, 99, 46)","Gone With the Wind Margaret Mitchell historical_fiction 1905 rgb(133, 99, 46)"
Daisy Miller,Henry James,1877,historical_fiction,http://covers.openlibrary.org/b/id/6482238-L.jpg,book_covers\1025_Daisy_Miller.jpg,1025,"rgb(113, 112, 90)","Daisy Miller Henry James historical_fiction 1877 rgb(113, 112, 90)"
The Ambassadors,Henry James,1903,historical_fiction,http://covers.openlibrary.org/b/id/313610-L.jpg,book_covers\1026_The_Ambassadors.jpg,1026,"rgb(157, 147, 146)","The Ambassadors Henry James historical_fiction 1903 rgb(157, 147, 146)"
Far From the Madding Crowd,Thomas Hardy,1874,historical_fiction,http://covers.openlibrary.org/b/id/902038-L.jpg,book_covers\1027_Far_From_the_Madding_Crowd.jpg,1027,"rgb(113, 107, 98)","Far From the Madding Crowd Thomas Hardy historical_fiction 1874 rgb(113, 107, 98)"
Ivanhoe,Sir Walter Scott,1800,historical_fiction,http://covers.openlibrary.org/b/id/314235-L.jpg,book_covers\1028_Ivanhoe.jpg,1028,"rgb(85, 80, 57)","Ivanhoe Sir Walter Scott historical_fiction 1800 rgb(85, 80, 57)"
Tarzan of the Apes,Edgar Rice Burroughs,1912,historical_fiction,http://covers.openlibrary.org/b/id/6608849-L.jpg,book_covers\1029_Tarzan_of_the_Apes.jpg,1029,"rgb(143, 25, 18)","Tarzan of the Apes Edgar Rice Burroughs historical_fiction 1912 rgb(143, 25, 18)"
Washington Square,Henry James,1880,historical_fiction,http://covers.openlibrary.org/b/id/8243278-L.jpg,book_covers\1030_Washington_Square.jpg,1030,"rgb(22, 17, 15)","Washington Square Henry James historical_fiction 1880 rgb(22, 17, 15)"
The warlord of Mars #3,"Edgar Rice Burroughs, Jim Killavey, Paula Paula",1919,historical_fiction,http://covers.openlibrary.org/b/id/207141-L.jpg,book_covers\1031_The_warlord_of_Mars_#3.jpg,1031,"rgb(86, 114, 54)","The warlord of Mars #3 Edgar Rice Burroughs, Jim Killavey, Paula Paula historical_fiction 1919 rgb(86, 114, 54)"
The League of the Scarlet Pimpernel,"Emmuska Orczy, Baroness Orczy",1919,historical_fiction,http://covers.openlibrary.org/b/id/2783870-L.jpg,book_covers\1032_The_League_of_the_Scarlet_Pimpernel.jpg,1032,"rgb(252, 252, 252)","The League of the Scarlet Pimpernel Emmuska Orczy, Baroness Orczy historical_fiction 1919 rgb(252, 252, 252)"
Boyhood,"Лев Толстой, CJ Hogarth",1854,historical_fiction,http://covers.openlibrary.org/b/id/4986307-L.jpg,book_covers\1033_Boyhood.jpg,1033,"rgb(251, 251, 251)","Boyhood Лев Толстой, CJ Hogarth historical_fiction 1854 rgb(251, 251, 251)"
The Murder of Roger Ackroyd,Agatha Christie,1926,historical_fiction,http://covers.openlibrary.org/b/id/13151356-L.jpg,book_covers\1034_The_Murder_of_Roger_Ackroyd.jpg,1034,"rgb(96, 73, 47)","The Murder of Roger Ackroyd Agatha Christie historical_fiction 1926 rgb(96, 73, 47)"
Poirot investigates,Agatha Christie,1924,historical_fiction,http://covers.openlibrary.org/b/id/13670505-L.jpg,book_covers\1035_Poirot_investigates.jpg,1035,"rgb(143, 92, 75)","Poirot investigates Agatha Christie historical_fiction 1924 rgb(143, 92, 75)"
Siddhartha,Hermann Hesse,1922,historical_fiction,http://covers.openlibrary.org/b/id/6562535-L.jpg,book_covers\1036_Siddhartha.jpg,1036,"rgb(48, 48, 46)","Siddhartha Hermann Hesse historical_fiction 1922 rgb(48, 48, 46)"
The Last Days of Pompeii,"Edward Bulwer Lytton, Baron Lytton",1800,historical_fiction,http://covers.openlibrary.org/b/id/8247711-L.jpg,book_covers\1037_The_Last_Days_of_Pompeii.jpg,1037,"rgb(38, 44, 32)","The Last Days of Pompeii Edward Bulwer Lytton, Baron Lytton historical_fiction 1800 rgb(38, 44, 32)"
Ben Hur,Lew Wallace,1800,historical_fiction,http://covers.openlibrary.org/b/id/6456470-L.jpg,book_covers\1038_Ben_Hur.jpg,1038,"rgb(89, 73, 55)","Ben Hur Lew Wallace historical_fiction 1800 rgb(89, 73, 55)"
Of Mice and Men,John Steinbeck,1937,historical_fiction,http://covers.openlibrary.org/b/id/14319003-L.jpg,book_covers\1039_Of_Mice_and_Men.jpg,1039,"rgb(171, 143, 126)","Of Mice and Men John Steinbeck historical_fiction 1937 rgb(171, 143, 126)"
Смерть Ивана Ильича,"Лев Толстой, Anthony Briggs, Anthony Horvath, Constance Garnett (translator), Zinc Read",1887,historical_fiction,http://covers.openlibrary.org/b/id/419697-L.jpg,book_covers\1040_Смерть_Ивана_Ильича.jpg,1040,error_reading,"Смерть Ивана Ильича Лев Толстой, Anthony Briggs, Anthony Horvath, Constance Garnett (translator), Zinc Read historical_fiction 1887 error_reading"
